state,2020_polls_margin,error_mean,2020_polls_adjusted,2020_results_margin,2020_error_raw,2020_error_adjusted,lower_error,pred_raw,pred_adjusted,result
NE,11.0,-4.259375,15.259375,19.06,-8.059999999999999,-3.8006249999999984,adjusted,R,R,R
NV,-4.0,3.2943612012987016,-7.294361201298702,-2.39,-1.6099999999999999,-4.904361201298702,raw,D,D,D
NH,-9.030303030303031,-0.5559433467141378,-8.474359683588894,-7.35,-1.6803030303030315,-1.124359683588894,adjusted,D,D,D
NJ,-19.904761904761905,2.6869450455767594,-22.591706950338665,-15.94,-3.9647619047619056,-6.651706950338665,raw,D,D,D
NM,-10.076923076923077,1.6618756914809547,-11.738798768404031,-10.79,0.7130769230769225,-0.948798768404032,raw,D,D,D
NY,-28.5,3.9392735042735034,-32.4392735042735,-23.13,-5.370000000000001,-9.309273504273502,raw,D,D,D
NC,-1.8106918238993712,-2.7918023281581332,0.981110504258762,1.35,-3.1606918238993713,-0.3688894957412381,adjusted,D,R,R
ND,24.3,-9.350833333333334,33.65083333333334,33.34,-9.040000000000003,0.31083333333333485,adjusted,R,R,R
OH,1.3559322033898304,-1.9408400791599494,3.29677228254978,8.03,-6.674067796610169,-4.7332277174502195,adjusted,R,R,R
OK,24.642857142857142,-6.0629629629629616,30.705820105820102,33.09,-8.447142857142861,-2.3841798941799013,adjusted,R,R,R
OR,-20.33333333333333,2.5863175777710663,-22.919650911104394,-16.08,-4.25333333333333,-6.839650911104396,raw,D,D,D
PA,-5.075690607734807,-0.9911827419623518,-4.084507865772455,-1.16,-3.915690607734807,-2.924507865772455,adjusted,D,D,D
RI,-23.83333333333333,3.6424999999999996,-27.475833333333327,-20.77,-3.063333333333329,-6.705833333333327,raw,D,D,D
SC,7.131578947368421,-5.776905594405594,12.908484541774015,11.68,-4.5484210526315785,1.2284845417740158,adjusted,R,R,R
SD,19.75,-8.963333333333333,28.71333333333333,26.16,-6.41,2.553333333333331,adjusted,R,R,R
TN,16.5,-9.197635841170325,25.697635841170325,23.21,-6.710000000000001,2.4876358411703237,adjusted,R,R,R
TX,1.9489795918367347,-2.71375,4.662729591836735,5.58,-3.6310204081632653,-0.9172704081632652,adjusted,R,R,R
UT,13.5,-3.956944444444443,17.456944444444442,20.48,-6.98,-3.0230555555555583,adjusted,R,R,R
VT,-38.625,6.816666666666667,-45.44166666666667,-35.41,-3.2150000000000034,-10.031666666666673,raw,D,D,D
VA,-11.366666666666667,-0.2734847799879442,-11.093181886678723,-10.11,-1.2566666666666677,-0.9831818866787234,adjusted,D,D,D
WA,-24.066666666666663,2.299967532467532,-26.366634199134197,-19.2,-4.866666666666664,-7.166634199134197,raw,D,D,D
WV,29.5,-10.694827586206896,40.1948275862069,38.93,-9.43,1.2648275862068985,adjusted,R,R,R
WI,-5.88,-0.15410189352389447,-5.725898106476105,-0.63,-5.25,-5.095898106476105,adjusted,D,D,D
WY,39.42857142857143,-6.34,45.768571428571434,43.38,-3.951428571428572,2.3885714285714315,adjusted,R,R,R
