"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
05000,Arkansas,,Real per capita dollar statistics (constant 2012 dollars),
05000,Arkansas,8,"  Real per capita personal income 4/",47765
05000,Arkansas,9,"  Real per capita PCE 5/",34760
05000,Arkansas,,Per capita current dollar statistics,
05000,Arkansas,10,"  Per capita personal income 6/",47154
05000,Arkansas,11,"  Per capita disposable personal income 7/",43115
05000,Arkansas,12,"  Per capita personal consumption expenditures (PCE) 8/",34786
05000,Arkansas,,Price indexes,
05000,Arkansas,13,"  Regional price parities (RPPs) 9/",89.181
05000,Arkansas,14,"  Implicit regional price deflator 10/",99.191
05000,Arkansas,,Employment,
05000,Arkansas,15,"  Total employment (number of jobs)",1640442
06000,California,,Real dollar statistics,
06000,California,1,"  Real GDP (millions of chained 2012 dollars) 1/",2667220.9
06000,California,2,"  Real personal income (millions of constant (2012) dollars) 2/",2257635.2
06000,California,3,"  Real PCE (millions of constant (2012) dollars) 3/",1495470.9
06000,California,,Current dollar statistics (millions of dollars),
06000,California,4,"  Gross domestic product (GDP)",3020173.4
06000,California,5,"  Personal income",2790523.5
06000,California,6,"  Disposable personal income",2403799.4
06000,California,7,"  Personal consumption expenditures",1848651.7
06000,California,,Real per capita dollar statistics (constant 2012 dollars),
06000,California,8,"  Real per capita personal income 4/",57347
06000,California,9,"  Real per capita PCE 5/",37987
06000,California,,Per capita current dollar statistics,
06000,California,10,"  Per capita personal income 6/",70647
06000,California,11,"  Per capita disposable personal income 7/",60856
06000,California,12,"  Per capita personal consumption expenditures (PCE) 8/",46802
06000,California,,Price indexes,
06000,California,13,"  Regional price parities (RPPs) 9/",110.380
06000,California,14,"  Implicit regional price deflator 10/",122.769
06000,California,,Employment,
06000,California,15,"  Total employment (number of jobs)",23155486
08000,Colorado,,Real dollar statistics,
08000,Colorado,1,"  Real GDP (millions of chained 2012 dollars) 1/",353345.2
08000,Colorado,2,"  Real personal income (millions of constant (2012) dollars) 2/",324716.0
08000,Colorado,3,"  Real PCE (millions of constant (2012) dollars) 3/",236760.8
08000,Colorado,,Current dollar statistics (millions of dollars),
08000,Colorado,4,"  Gross domestic product (GDP)",391263.3
08000,Colorado,5,"  Personal income",378051.4
08000,Colorado,6,"  Disposable personal income",333477.3
08000,Colorado,7,"  Personal consumption expenditures",272276.5
08000,Colorado,,Real per capita dollar statistics (constant 2012 dollars),
08000,Colorado,8,"  Real per capita personal income 4/",55911
08000,Colorado,9,"  Real per capita PCE 5/",40767
08000,Colorado,,Per capita current dollar statistics,
08000,Colorado,10,"  Per capita personal income 6/",65358
08000,Colorado,11,"  Per capita disposable personal income 7/",57652
08000,Colorado,12,"  Per capita personal consumption expenditures (PCE) 8/",47072
08000,Colorado,,Price indexes,
08000,Colorado,13,"  Regional price parities (RPPs) 9/",102.866
08000,Colorado,14,"  Implicit regional price deflator 10/",114.412
08000,Colorado,,Employment,
08000,Colorado,15,"  Total employment (number of jobs)",3821923
09000,Connecticut,,Real dollar statistics,
09000,Connecticut,1,"  Real GDP (millions of chained 2012 dollars) 1/",235234.9
09000,Connecticut,2,"  Real personal income (millions of constant (2012) dollars) 2/",243771.5
09000,Connecticut,3,"  Real PCE (millions of constant (2012) dollars) 3/",155937.1
09000,Connecticut,,Current dollar statistics (millions of dollars),
09000,Connecticut,4,"  Gross domestic product (GDP)",276223.3
09000,Connecticut,5,"  Personal income",282486.1
09000,Connecticut,6,"  Disposable personal income",241345.9
09000,Connecticut,7,"  Personal consumption expenditures",180077.0
09000,Connecticut,,Real per capita dollar statistics (constant 2012 dollars),
09000,Connecticut,8,"  Real per capita personal income 4/",68533
09000,Connecticut,9,"  Real per capita PCE 5/",43839
09000,Connecticut,,Per capita current dollar statistics,
09000,Connecticut,10,"  Per capita personal income 6/",78463
09000,Connecticut,11,"  Per capita disposable personal income 7/",67036
09000,Connecticut,12,"  Per capita personal consumption expenditures (PCE) 8/",50018
09000,Connecticut,,Price indexes,
09000,Connecticut,13,"  Regional price parities (RPPs) 9/",103.439
09000,Connecticut,14,"  Implicit regional price deflator 10/",115.050
09000,Connecticut,,Employment,
09000,Connecticut,15,"  Total employment (number of jobs)",2217497
10000,Delaware,,Real dollar statistics,
10000,Delaware,1,"  Real GDP (millions of chained 2012 dollars) 1/",62281.8
10000,Delaware,2,"  Real personal income (millions of constant (2012) dollars) 2/",51006.8
10000,Delaware,3,"  Real PCE (millions of constant (2012) dollars) 3/",41186.1
10000,Delaware,,Current dollar statistics (millions of dollars),
10000,Delaware,4,"  Gross domestic product (GDP)",75818.6
10000,Delaware,5,"  Personal income",55866.8
10000,Delaware,6,"  Disposable personal income",49416.5
10000,Delaware,7,"  Personal consumption expenditures",45112.3
10000,Delaware,,Real per capita dollar statistics (constant 2012 dollars),
10000,Delaware,8,"  Real per capita personal income 4/",51689
10000,Delaware,9,"  Real per capita PCE 5/",41737
10000,Delaware,,Per capita current dollar statistics,
10000,Delaware,10,"  Per capita personal income 6/",56324
10000,Delaware,11,"  Per capita disposable personal income 7/",49821
10000,Delaware,12,"  Per capita personal consumption expenditures (PCE) 8/",45481
10000,Delaware,,Price indexes,
10000,Delaware,13,"  Regional price parities (RPPs) 9/",97.872
10000,Delaware,14,"  Implicit regional price deflator 10/",108.858
10000,Delaware,,Employment,
10000,Delaware,15,"  Total employment (number of jobs)",592045
11000,District of Columbia,,Real dollar statistics,
11000,District of Columbia,1,"  Real GDP (millions of chained 2012 dollars) 1/",122485.3
11000,District of Columbia,2,"  Real personal income (millions of constant (2012) dollars) 2/",49925.8
11000,District of Columbia,3,"  Real PCE (millions of constant (2012) dollars) 3/",37471.6
11000,District of Columbia,,Current dollar statistics (millions of dollars),
11000,District of Columbia,4,"  Gross domestic product (GDP)",144720.0
11000,District of Columbia,5,"  Personal income",61925.5
11000,District of Columbia,6,"  Disposable personal income",52510.2
11000,District of Columbia,7,"  Personal consumption expenditures",47733.5
11000,District of Columbia,,Real per capita dollar statistics (constant 2012 dollars),
11000,District of Columbia,8,"  Real per capita personal income 4/",70040
11000,District of Columbia,9,"  Real per capita PCE 5/",52568
11000,District of Columbia,,Per capita current dollar statistics,
11000,District of Columbia,10,"  Per capita personal income 6/",89735
11000,District of Columbia,11,"  Per capita disposable personal income 7/",76091
11000,District of Columbia,12,"  Per capita personal consumption expenditures (PCE) 8/",69170
11000,District of Columbia,,Price indexes,
11000,District of Columbia,13,"  Regional price parities (RPPs) 9/",111.459
11000,District of Columbia,14,"  Implicit regional price deflator 10/",123.970
11000,District of Columbia,,Employment,
11000,District of Columbia,15,"  Total employment (number of jobs)",865878
12000,Florida,,Real dollar statistics,
12000,Florida,1,"  Real GDP (millions of chained 2012 dollars) 1/",950164.4
12000,Florida,2,"  Real personal income (millions of constant (2012) dollars) 2/",1083474.6
12000,Florida,3,"  Real PCE (millions of constant (2012) dollars) 3/",846225.4
12000,Florida,,Current dollar statistics (millions of dollars),
12000,Florida,4,"  Gross domestic product (GDP)",1116726.8
12000,Florida,5,"  Personal income",1235793.4
12000,Florida,6,"  Disposable personal income",1111276.3
12000,Florida,7,"  Personal consumption expenditures",954880.3
12000,Florida,,Real per capita dollar statistics (constant 2012 dollars),
12000,Florida,8,"  Real per capita personal income 4/",49853
12000,Florida,9,"  Real per capita PCE 5/",38937
12000,Florida,,Per capita current dollar statistics,
12000,Florida,10,"  Per capita personal income 6/",57292
12000,Florida,11,"  Per capita disposable personal income 7/",51520
12000,Florida,12,"  Per capita personal consumption expenditures (PCE) 8/",44269
12000,Florida,,Price indexes,
12000,Florida,13,"  Regional price parities (RPPs) 9/",100.711
12000,Florida,14,"  Implicit regional price deflator 10/",112.016
12000,Florida,,Employment,
12000,Florida,15,"  Total employment (number of jobs)",12720098
13000,Georgia,,Real dollar statistics,
13000,Georgia,1,"  Real GDP (millions of chained 2012 dollars) 1/",537615.8
13000,Georgia,2,"  Real personal income (millions of constant (2012) dollars) 2/",528986.8
13000,Georgia,3,"  Real PCE (millions of constant (2012) dollars) 3/",388721.0
13000,Georgia,,Current dollar statistics (millions of dollars),
13000,Georgia,4,"  Gross domestic product (GDP)",625425.7
13000,Georgia,5,"  Personal income",557601.2
13000,Georgia,6,"  Disposable personal income",500696.2
13000,Georgia,7,"  Personal consumption expenditures",410296.0
13000,Georgia,,Real per capita dollar statistics (constant 2012 dollars),
13000,Georgia,8,"  Real per capita personal income 4/",49392
13000,Georgia,9,"  Real per capita PCE 5/",36295
13000,Georgia,,Per capita current dollar statistics,
13000,Georgia,10,"  Per capita personal income 6/",51987
13000,Georgia,11,"  Per capita disposable personal income 7/",46681
13000,Georgia,12,"  Per capita personal consumption expenditures (PCE) 8/",38253
13000,Georgia,,Price indexes,
13000,Georgia,13,"  Regional price parities (RPPs) 9/",94.541
13000,Georgia,14,"  Implicit regional price deflator 10/",105.153
13000,Georgia,,Employment,
13000,Georgia,15,"  Total employment (number of jobs)",6326942
15000,Hawaii,,Real dollar statistics,
15000,Hawaii,1,"  Real GDP (millions of chained 2012 dollars) 1/",70109.4
15000,Hawaii,2,"  Real personal income (millions of constant (2012) dollars) 2/",66458.6
15000,Hawaii,3,"  Real PCE (millions of constant (2012) dollars) 3/",50923.3
15000,Hawaii,,Current dollar statistics (millions of dollars),
15000,Hawaii,4,"  Gross domestic product (GDP)",82535.5
15000,Hawaii,5,"  Personal income",83109.5
15000,Hawaii,6,"  Disposable personal income",74141.3
15000,Hawaii,7,"  Personal consumption expenditures",64031.5
15000,Hawaii,,Real per capita dollar statistics (constant 2012 dollars),
15000,Hawaii,8,"  Real per capita personal income 4/",47234
15000,Hawaii,9,"  Real per capita PCE 5/",36193
15000,Hawaii,,Per capita current dollar statistics,
15000,Hawaii,10,"  Per capita personal income 6/",57241
15000,Hawaii,11,"  Per capita disposable personal income 7/",51065
15000,Hawaii,12,"  Per capita personal consumption expenditures (PCE) 8/",44102
15000,Hawaii,,Price indexes,
15000,Hawaii,13,"  Regional price parities (RPPs) 9/",111.985
15000,Hawaii,14,"  Implicit regional price deflator 10/",124.555
15000,Hawaii,,Employment,
15000,Hawaii,15,"  Total employment (number of jobs)",817748
16000,Idaho,,Real dollar statistics,
16000,Idaho,1,"  Real GDP (millions of chained 2012 dollars) 1/",75145.5
16000,Idaho,2,"  Real personal income (millions of constant (2012) dollars) 2/",88085.7
16000,Idaho,3,"  Real PCE (millions of constant (2012) dollars) 3/",63865.6
16000,Idaho,,Current dollar statistics (millions of dollars),
16000,Idaho,4,"  Gross domestic product (GDP)",85927.8
16000,Idaho,5,"  Personal income",91448.5
16000,Idaho,6,"  Disposable personal income",82766.5
16000,Idaho,7,"  Personal consumption expenditures",65101.0
16000,Idaho,,Real per capita dollar statistics (constant 2012 dollars),
16000,Idaho,8,"  Real per capita personal income 4/",48216
16000,Idaho,9,"  Real per capita PCE 5/",34958
16000,Idaho,,Per capita current dollar statistics,
16000,Idaho,10,"  Per capita personal income 6/",49491
16000,Idaho,11,"  Per capita disposable personal income 7/",44793
16000,Idaho,12,"  Per capita personal consumption expenditures (PCE) 8/",35232
16000,Idaho,,Price indexes,
16000,Idaho,13,"  Regional price parities (RPPs) 9/",91.196
16000,Idaho,14,"  Implicit regional price deflator 10/",101.433
16000,Idaho,,Employment,
16000,Idaho,15,"  Total employment (number of jobs)",1078122
17000,Illinois,,Real dollar statistics,
17000,Illinois,1,"  Real GDP (millions of chained 2012 dollars) 1/",734385.0
17000,Illinois,2,"  Real personal income (millions of constant (2012) dollars) 2/",710967.0
17000,Illinois,3,"  Real PCE (millions of constant (2012) dollars) 3/",495383.1
17000,Illinois,,Current dollar statistics (millions of dollars),
17000,Illinois,4,"  Gross domestic product (GDP)",856942.9
17000,Illinois,5,"  Personal income",794459.5
17000,Illinois,6,"  Disposable personal income",701883.3
17000,Illinois,7,"  Personal consumption expenditures",556286.1
17000,Illinois,,Real per capita dollar statistics (constant 2012 dollars),
17000,Illinois,8,"  Real per capita personal income 4/",56482
17000,Illinois,9,"  Real per capita PCE 5/",39355
17000,Illinois,,Per capita current dollar statistics,
17000,Illinois,10,"  Per capita personal income 6/",62139
17000,Illinois,11,"  Per capita disposable personal income 7/",54898
17000,Illinois,12,"  Per capita personal consumption expenditures (PCE) 8/",43510
17000,Illinois,,Price indexes,
17000,Illinois,13,"  Regional price parities (RPPs) 9/",100.476
17000,Illinois,14,"  Implicit regional price deflator 10/",111.754
17000,Illinois,,Employment,
17000,Illinois,15,"  Total employment (number of jobs)",7519502
18000,Indiana,,Real dollar statistics,
18000,Indiana,1,"  Real GDP (millions of chained 2012 dollars) 1/",327277.9
18000,Indiana,2,"  Real personal income (millions of constant (2012) dollars) 2/",341961.9
18000,Indiana,3,"  Real PCE (millions of constant (2012) dollars) 3/",250130.6
18000,Indiana,,Current dollar statistics (millions of dollars),
18000,Indiana,4,"  Gross domestic product (GDP)",373781.6
18000,Indiana,5,"  Personal income",354337.7
18000,Indiana,6,"  Disposable personal income",319874.5
18000,Indiana,7,"  Personal consumption expenditures",258617.9
18000,Indiana,,Real per capita dollar statistics (constant 2012 dollars),
18000,Indiana,8,"  Real per capita personal income 4/",50624
18000,Indiana,9,"  Real per capita PCE 5/",37029
18000,Indiana,,Per capita current dollar statistics,
18000,Indiana,10,"  Per capita personal income 6/",52219
18000,Indiana,11,"  Per capita disposable personal income 7/",47140
18000,Indiana,12,"  Per capita personal consumption expenditures (PCE) 8/",38113
18000,Indiana,,Price indexes,
18000,Indiana,13,"  Regional price parities (RPPs) 9/",92.501
18000,Indiana,14,"  Implicit regional price deflator 10/",102.883
18000,Indiana,,Employment,
18000,Indiana,15,"  Total employment (number of jobs)",3843507
19000,Iowa,,Real dollar statistics,
19000,Iowa,1,"  Real GDP (millions of chained 2012 dollars) 1/",170957.4
19000,Iowa,2,"  Real personal income (millions of constant (2012) dollars) 2/",167572.1
19000,Iowa,3,"  Real PCE (millions of constant (2012) dollars) 3/",117417.6
19000,Iowa,,Current dollar statistics (millions of dollars),
19000,Iowa,4,"  Gross domestic product (GDP)",196982.9
19000,Iowa,5,"  Personal income",169994.2
19000,Iowa,6,"  Disposable personal income",153817.1
19000,Iowa,7,"  Personal consumption expenditures",119315.3
19000,Iowa,,Real per capita dollar statistics (constant 2012 dollars),
19000,Iowa,8,"  Real per capita personal income 4/",52969
19000,Iowa,9,"  Real per capita PCE 5/",37116
19000,Iowa,,Per capita current dollar statistics,
19000,Iowa,10,"  Per capita personal income 6/",53312
19000,Iowa,11,"  Per capita disposable personal income 7/",48239
19000,Iowa,12,"  Per capita personal consumption expenditures (PCE) 8/",37419
19000,Iowa,,Price indexes,
19000,Iowa,13,"  Regional price parities (RPPs) 9/",91.047
19000,Iowa,14,"  Implicit regional price deflator 10/",101.266
19000,Iowa,,Employment,
19000,Iowa,15,"  Total employment (number of jobs)",2010409
20000,Kansas,,Real dollar statistics,
20000,Kansas,1,"  Real GDP (millions of chained 2012 dollars) 1/",158348.3
20000,Kansas,2,"  Real personal income (millions of constant (2012) dollars) 2/",159598.1
20000,Kansas,3,"  Real PCE (millions of constant (2012) dollars) 3/",110175.9
20000,Kansas,,Current dollar statistics (millions of dollars),
20000,Kansas,4,"  Gross domestic product (GDP)",177580.9
20000,Kansas,5,"  Personal income",164333.6
20000,Kansas,6,"  Disposable personal income",148056.5
20000,Kansas,7,"  Personal consumption expenditures",113475.7
20000,Kansas,,Real per capita dollar statistics (constant 2012 dollars),
20000,Kansas,8,"  Real per capita personal income 4/",54773
20000,Kansas,9,"  Real per capita PCE 5/",37812
20000,Kansas,,Per capita current dollar statistics,
20000,Kansas,10,"  Per capita personal income 6/",55974
20000,Kansas,11,"  Per capita disposable personal income 7/",50430
20000,Kansas,12,"  Per capita personal consumption expenditures (PCE) 8/",38651
20000,Kansas,,Price indexes,
20000,Kansas,13,"  Regional price parities (RPPs) 9/",92.364
20000,Kansas,14,"  Implicit regional price deflator 10/",102.731
20000,Kansas,,Employment,
20000,Kansas,15,"  Total employment (number of jobs)",1879086
21000,Kentucky,,Real dollar statistics,
21000,Kentucky,1,"  Real GDP (millions of chained 2012 dollars) 1/",188396.3
21000,Kentucky,2,"  Real personal income (millions of constant (2012) dollars) 2/",212898.1
21000,Kentucky,3,"  Real PCE (millions of constant (2012) dollars) 3/",163987.4
21000,Kentucky,,Current dollar statistics (millions of dollars),
21000,Kentucky,4,"  Gross domestic product (GDP)",216865.6
21000,Kentucky,5,"  Personal income",214052.5
21000,Kentucky,6,"  Disposable personal income",194013.6
21000,Kentucky,7,"  Personal consumption expenditures",164142.1
21000,Kentucky,,Real per capita dollar statistics (constant 2012 dollars),
21000,Kentucky,8,"  Real per capita personal income 4/",47551
21000,Kentucky,9,"  Real per capita PCE 5/",36627
21000,Kentucky,,Per capita current dollar statistics,
21000,Kentucky,10,"  Per capita personal income 6/",47525
21000,Kentucky,11,"  Per capita disposable personal income 7/",43076
21000,Kentucky,12,"  Per capita personal consumption expenditures (PCE) 8/",36444
21000,Kentucky,,Price indexes,
21000,Kentucky,13,"  Regional price parities (RPPs) 9/",89.778
21000,Kentucky,14,"  Implicit regional price deflator 10/",99.855
21000,Kentucky,,Employment,
21000,Kentucky,15,"  Total employment (number of jobs)",2472056
22000,Louisiana,,Real dollar statistics,
22000,Louisiana,1,"  Real GDP (millions of chained 2012 dollars) 1/",218421.7
22000,Louisiana,2,"  Real personal income (millions of constant (2012) dollars) 2/",229864.6
22000,Louisiana,3,"  Real PCE (millions of constant (2012) dollars) 3/",168266.1
22000,Louisiana,,Current dollar statistics (millions of dollars),
22000,Louisiana,4,"  Gross domestic product (GDP)",232527.8
22000,Louisiana,5,"  Personal income",236324.2
22000,Louisiana,6,"  Disposable personal income",217041.9
22000,Louisiana,7,"  Personal consumption expenditures",173900.0
22000,Louisiana,,Real per capita dollar statistics (constant 2012 dollars),
22000,Louisiana,8,"  Real per capita personal income 4/",49483
22000,Louisiana,9,"  Real per capita PCE 5/",36223
22000,Louisiana,,Per capita current dollar statistics,
22000,Louisiana,10,"  Per capita personal income 6/",50809
22000,Louisiana,11,"  Per capita disposable personal income 7/",46664
22000,Louisiana,12,"  Per capita personal consumption expenditures (PCE) 8/",37388
22000,Louisiana,,Price indexes,
22000,Louisiana,13,"  Regional price parities (RPPs) 9/",92.716
22000,Louisiana,14,"  Implicit regional price deflator 10/",103.123
22000,Louisiana,,Employment,
22000,Louisiana,15,"  Total employment (number of jobs)",2593066
23000,Maine,,Real dollar statistics,
23000,Maine,1,"  Real GDP (millions of chained 2012 dollars) 1/",59881.4
23000,Maine,2,"  Real personal income (millions of constant (2012) dollars) 2/",68204.3
23000,Maine,3,"  Real PCE (millions of constant (2012) dollars) 3/",56785.8
23000,Maine,,Current dollar statistics (millions of dollars),
23000,Maine,4,"  Gross domestic product (GDP)",70740.0
23000,Maine,5,"  Personal income",74805.9
23000,Maine,6,"  Disposable personal income",67597.0
23000,Maine,7,"  Personal consumption expenditures",61370.5
23000,Maine,,Real per capita dollar statistics (constant 2012 dollars),
23000,Maine,8,"  Real per capita personal income 4/",50516
23000,Maine,9,"  Real per capita PCE 5/",42059
23000,Maine,,Per capita current dollar statistics,
23000,Maine,10,"  Per capita personal income 6/",54912
23000,Maine,11,"  Per capita disposable personal income 7/",49620
23000,Maine,12,"  Per capita personal consumption expenditures (PCE) 8/",45050
23000,Maine,,Price indexes,
23000,Maine,13,"  Regional price parities (RPPs) 9/",96.776
23000,Maine,14,"  Implicit regional price deflator 10/",107.639
23000,Maine,,Employment,
23000,Maine,15,"  Total employment (number of jobs)",813207
24000,Maryland,,Real dollar statistics,
24000,Maryland,1,"  Real GDP (millions of chained 2012 dollars) 1/",352384.0
24000,Maryland,2,"  Real personal income (millions of constant (2012) dollars) 2/",342623.0
24000,Maryland,3,"  Real PCE (millions of constant (2012) dollars) 3/",226691.9
24000,Maryland,,Current dollar statistics (millions of dollars),
24000,Maryland,4,"  Gross domestic product (GDP)",410931.0
24000,Maryland,5,"  Personal income",405454.6
24000,Maryland,6,"  Disposable personal income",352071.7
24000,Maryland,7,"  Personal consumption expenditures",269486.2
24000,Maryland,,Real per capita dollar statistics (constant 2012 dollars),
24000,Maryland,8,"  Real per capita personal income 4/",56578
24000,Maryland,9,"  Real per capita PCE 5/",37434
24000,Maryland,,Per capita current dollar statistics,
24000,Maryland,10,"  Per capita personal income 6/",65685
24000,Maryland,11,"  Per capita disposable personal income 7/",57037
24000,Maryland,12,"  Per capita personal consumption expenditures (PCE) 8/",43658
24000,Maryland,,Price indexes,
24000,Maryland,13,"  Regional price parities (RPPs) 9/",106.472
24000,Maryland,14,"  Implicit regional price deflator 10/",118.424
24000,Maryland,,Employment,
24000,Maryland,15,"  Total employment (number of jobs)",3620521
25000,Massachusetts,,Real dollar statistics,
25000,Massachusetts,1,"  Real GDP (millions of chained 2012 dollars) 1/",500001.0
25000,Massachusetts,2,"  Real personal income (millions of constant (2012) dollars) 2/",453961.5
25000,Massachusetts,3,"  Real PCE (millions of constant (2012) dollars) 3/",299971.2
25000,Massachusetts,,Current dollar statistics (millions of dollars),
25000,Massachusetts,4,"  Gross domestic product (GDP)",585150.3
25000,Massachusetts,5,"  Personal income",550459.5
25000,Massachusetts,6,"  Disposable personal income",471696.0
25000,Massachusetts,7,"  Personal consumption expenditures",360537.9
25000,Massachusetts,,Real per capita dollar statistics (constant 2012 dollars),
25000,Massachusetts,8,"  Real per capita personal income 4/",65853
25000,Massachusetts,9,"  Real per capita PCE 5/",43515
25000,Massachusetts,,Per capita current dollar statistics,
25000,Massachusetts,10,"  Per capita personal income 6/",78388
25000,Massachusetts,11,"  Per capita disposable personal income 7/",67172
25000,Massachusetts,12,"  Per capita personal consumption expenditures (PCE) 8/",51342
25000,Massachusetts,,Price indexes,
25000,Massachusetts,13,"  Regional price parities (RPPs) 9/",107.442
25000,Massachusetts,14,"  Implicit regional price deflator 10/",119.502
25000,Massachusetts,,Employment,
25000,Massachusetts,15,"  Total employment (number of jobs)",4600345
26000,Michigan,,Real dollar statistics,
26000,Michigan,1,"  Real GDP (millions of chained 2012 dollars) 1/",448455.3
26000,Michigan,2,"  Real personal income (millions of constant (2012) dollars) 2/",508997.4
26000,Michigan,3,"  Real PCE (millions of constant (2012) dollars) 3/",393269.4
26000,Michigan,,Current dollar statistics (millions of dollars),
26000,Michigan,4,"  Gross domestic product (GDP)",520105.3
26000,Michigan,5,"  Personal income",537493.5
